GEOLINEID,Legend_Description,GSC_SYMBOL
112001040166,fault; normal; concealed; attitude upright; not entered generation,4.02.01.004
112001040188,fault; normal; concealed; attitude upright; undefined generation,4.02.01.004
112001040201,fault; normal; concealed; attitude overturned; first generation,4.02.01.004
112001040202,fault; normal; concealed; attitude overturned; second generation,4.02.01.004
112001040203,fault; normal; concealed; attitude overturned; third generation,4.02.01.004
112001040204,fault; normal; concealed; attitude overturned; fourth generation,4.02.01.004
112001040210,fault; normal; concealed; attitude overturned; primary generation,4.02.01.004
112001040220,fault; normal; concealed; attitude overturned; multi-generation generation,4.02.01.004
112001040266,fault; normal; concealed; attitude overturned; not entered generation,4.02.01.004
112001040288,fault; normal; concealed; attitude overturned; undefined generation,4.02.01.004
112001040301,"fault; normal; concealed; attitude upright, assumed from archival data; first generation",4.02.01.004
112001040302,"fault; normal; concealed; attitude upright, assumed from archival data; second generation",4.02.01.004
112001040303,"fault; normal; concealed; attitude upright, assumed from archival data; third generation",4.02.01.004
112001040304,"fault; normal; concealed; attitude upright, assumed from archival data; fourth generation",4.02.01.004
112001040310,"fault; normal; concealed; attitude upright, assumed from archival data; primary generation",4.02.01.004
112001040320,"fault; normal; concealed; attitude upright, assumed from archival data; multi-generation generation",4.02.01.004
112001040366,"fault; normal; concealed; attitude upright, assumed from archival data; not entered generation",4.02.01.004
112001040388,"fault; normal; concealed; attitude upright, assumed from archival data; undefined generation",4.02.01.004
112001046601,fault; normal; concealed; attitude not entered; first generation,4.02.01.004
112001046602,fault; normal; concealed; attitude not entered; second generation,4.02.01.004
112001046603,fault; normal; concealed; attitude not entered; third generation,4.02.01.004
112001046604,fault; normal; concealed; attitude not entered; fourth generation,4.02.01.004
112001046610,fault; normal; concealed; attitude not entered; primary generation,4.02.01.004
112001046620,fault; normal; concealed; attitude not entered; multi-generation generation,4.02.01.004
112001046666,fault; normal; concealed; attitude not entered; not entered generation,4.02.01.004
112001046688,fault; normal; concealed; attitude not entered; undefined generation,4.02.01.004
112001047701,fault; normal; concealed; attitude unknown; first generation,4.02.01.004
112001047702,fault; normal; concealed; attitude unknown; second generation,4.02.01.004
112001047703,fault; normal; concealed; attitude unknown; third generation,4.02.01.004
112001047704,fault; normal; concealed; attitude unknown; fourth generation,4.02.01.004
112001047710,fault; normal; concealed; attitude unknown; primary generation,4.02.01.004
112001047720,fault; normal; concealed; attitude unknown; multi-generation generation,4.02.01.004
112001047766,fault; normal; concealed; attitude unknown; not entered generation,4.02.01.004
112001047788,fault; normal; concealed; attitude unknown; undefined generation,4.02.01.004
112002010101,fault; reverse; defined; attitude upright; first generation,4.02.02.001
112002010102,fault; reverse; defined; attitude upright; second generation,4.02.02.001
112002010103,fault; reverse; defined; attitude upright; third generation,4.02.02.001
112002010104,fault; reverse; defined; attitude upright; fourth generation,4.02.02.001
112002010110,fault; reverse; defined; attitude upright; primary generation,4.02.02.001
112002010120,fault; reverse; defined; attitude upright; multi-generation generation,4.02.02.001
112002010166,fault; reverse; defined; attitude upright; not entered generation,4.02.02.001
112002010188,fault; reverse; defined; attitude upright; undefined generation,4.02.02.001
112002010201,fault; reverse; defined; attitude overturned; first generation,4.02.02.001
112002010202,fault; reverse; defined; attitude overturned; second generation,4.02.02.001
112002010203,fault; reverse; defined; attitude overturned; third generation,4.02.02.001
112002010204,fault; reverse; defined; attitude overturned; fourth generation,4.02.02.001
112002010210,fault; reverse; defined; attitude overturned; primary generation,4.02.02.001
112002010220,fault; reverse; defined; attitude overturned; multi-generation generation,4.02.02.001
112002010266,fault; reverse; defined; attitude overturned; not entered generation,4.02.02.001
112002010288,fault; reverse; defined; attitude overturned; undefined generation,4.02.02.001
112002010301,"fault; reverse; defined; attitude upright, assumed from archival data; first generation",4.02.02.001
112002010302,"fault; reverse; defined; attitude upright, assumed from archival data; second generation",4.02.02.001
112002010303,"fault; reverse; defined; attitude upright, assumed from archival data; third generation",4.02.02.001
112002010304,"fault; reverse; defined; attitude upright, assumed from archival data; fourth generation",4.02.02.001
112002010310,"fault; reverse; defined; attitude upright, assumed from archival data; primary generation",4.02.02.001
112002010320,"fault; reverse; defined; attitude upright, assumed from archival data; multi-generation generation",4.02.02.001
112002010366,"fault; reverse; defined; attitude upright, assumed from archival data; not entered generation",4.02.02.001
112002010388,"fault; reverse; defined; attitude upright, assumed from archival data; undefined generation",4.02.02.001
112002016601,fault; reverse; defined; attitude not entered; first generation,4.02.02.001
112002016602,fault; reverse; defined; attitude not entered; second generation,4.02.02.001
112002016603,fault; reverse; defined; attitude not entered; third generation,4.02.02.001
112002016604,fault; reverse; defined; attitude not entered; fourth generation,4.02.02.001
112002016610,fault; reverse; defined; attitude not entered; primary generation,4.02.02.001
112002016620,fault; reverse; defined; attitude not entered; multi-generation generation,4.02.02.001
112002016666,fault; reverse; defined; attitude not entered; not entered generation,4.02.02.001
112002016688,fault; reverse; defined; attitude not entered; undefined generation,4.02.02.001
112002017701,fault; reverse; defined; attitude unknown; first generation,4.02.02.001
112002017702,fault; reverse; defined; attitude unknown; second generation,4.02.02.001
112002017703,fault; reverse; defined; attitude unknown; third generation,4.02.02.001
112002017704,fault; reverse; defined; attitude unknown; fourth generation,4.02.02.001
112002017710,fault; reverse; defined; attitude unknown; primary generation,4.02.02.001
112002017720,fault; reverse; defined; attitude unknown; multi-generation generation,4.02.02.001
112002017766,fault; reverse; defined; attitude unknown; not entered generation,4.02.02.001
112002017788,fault; reverse; defined; attitude unknown; undefined generation,4.02.02.001
112002020101,fault; reverse; approximate; attitude upright; first generation,4.02.02.002
112002020102,fault; reverse; approximate; attitude upright; second generation,4.02.02.002
112002020103,fault; reverse; approximate; attitude upright; third generation,4.02.02.002
