GEOPOINTID,Legend_Description,GSC_SYMBOL
1100101880304,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; calculated from data",4.14.01.003
1100101880305,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; calculated from imagery",4.14.01.003
1100101880306,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; acquired from historical data",4.14.01.001
1100101880366,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; not entered",4.14.01.003
1100101880401,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; measured at station",4.14.01.001
1100101880402,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; estimated at station",4.14.01.003
1100101880403,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; estimated remotely",4.14.01.003
1100101880404,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; calculated from data",4.14.01.003
1100101880405,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; calculated from imagery",4.14.01.003
1100101880406,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; acquired from historical data",4.14.01.001
1100101880466,"planar; bedding; inclined, upright; undefined; inferred, stratigraphic order; not entered",4.14.01.003
1100101880501,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; measured at station",4.14.01.001
1100101880502,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; estimated at station",4.14.01.003
1100101880503,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; estimated remotely",4.14.01.003
1100101880504,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; calculated from data",4.14.01.003
1100101880505,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; calculated from imagery",4.14.01.003
1100101880506,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; acquired from historical data",4.14.01.001
1100101880566,"planar; bedding; inclined, upright; undefined; inferred, bedding-cleavage; not entered",4.14.01.003
1100101886601,"planar; bedding; inclined, upright; undefined; not entered; measured at station",4.14.01.001
1100101886602,"planar; bedding; inclined, upright; undefined; not entered; estimated at station",4.14.01.003
1100101886603,"planar; bedding; inclined, upright; undefined; not entered; estimated remotely",4.14.01.003
1100101886604,"planar; bedding; inclined, upright; undefined; not entered; calculated from data",4.14.01.003
1100101886605,"planar; bedding; inclined, upright; undefined; not entered; calculated from imagery",4.14.01.003
1100101886606,"planar; bedding; inclined, upright; undefined; not entered; acquired from historical data",4.14.01.001
1100101886666,"planar; bedding; inclined, upright; undefined; not entered; not entered",4.14.01.003
1100102100101,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; measured at station",4.14.01.005
1100102100102,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; estimated at station",4.14.01.006
1100102100103,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; estimated remotely",4.14.01.006
1100102100104,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; calculated from data",4.14.01.006
1100102100105,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; calculated from imagery",4.14.01.006
1100102100106,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; acquired from historical data",4.14.01.005
1100102100166,"planar; bedding; inclined, overturned < 180; primary; known, sedimentary structure; not entered",4.14.01.006
1100102100201,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; measured at station",4.14.01.005
1100102100202,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; estimated at station",4.14.01.006
1100102100203,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; estimated remotely",4.14.01.006
1100102100204,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; calculated from data",4.14.01.006
1100102100205,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; calculated from imagery",4.14.01.006
